MES;agua_vermelha;barrabonita;capivara;emborcacao;fozdoareia;furnas;ita_montante;itaipu_d;itaipu_e;promissao;rosana_norte;rosana_sul;saltosantiago;saosimao;serradamesa;sobradinho_BA;sobradinho_MG;tres_marias;tucurui
1;288.54;256.32;221.47;267.23;184.79;283.74;168.70;188.61;173.91;259.93;229.64;214.17;185.07;264.45;269.39;140.54;211.46;269.20;268.59
2;201.35;192.34;171.60;192.01;165.86;186.02;165.81;160.44;157.03;194.25;178.97;165.33;171.21;196.72;212.03;106.26;137.50;168.05;232.69
3;181.31;163.63;132.49;192.02;124.24;179.00;117.86;123.99;129.65;151.75;140.02;128.35;130.15;204.85;223.97;134.27;167.47;172.62;255.55
4;78.45;80.77;93.14;74.30;114.85;70.91;139.31;128.58;115.04;80.34;85.60;95.34;142.06;87.50;102.13;61.03;61.53;61.61;144.01
5;56.55;78.59;106.46;31.93;134.81;53.68;144.09;153.18;127.13;69.94;86.83;110.80;163.53;34.12;25.43;14.73;19.17;32.94;51.49
6;22.64;52.11;80.14;12.90;115.46;23.18;130.40;115.38;82.76;37.98;59.74;84.02;138.17;12.91;5.90;5.28;7.48;11.30;10.98
7;18.08;44.59;70.70;11.40;124.60;19.32;155.23;89.10;49.36;28.59;45.91;72.60;128.55;8.17;3.82;2.74;5.48;8.73;5.44
8;21.93;35.34;52.27;17.54;92.24;20.67;120.31;74.56;58.64;30.34;40.03;55.07;96.93;17.17;12.11;2.81;9.33;14.57;10.74
9;68.24;131.57;113.08;47.70;148.63;73.90;172.08;136.48;108.51;64.57;87.72;118.51;155.88;53.70;48.24;12.86;28.60;47.55;48.17
10;119.52;120.50;136.90;111.28;174.97;114.96;193.28;181.19;157.68;108.96;120.65;140.98;205.38;119.57;137.34;55.79;90.13;98.68;129.24
11;165.31;137.63;129.96;195.36;138.55;172.67;150.68;150.92;161.98;132.89;130.76;129.74;157.09;192.11;212.47;129.91;198.96;186.35;193.64
12;260.29;206.25;176.74;279.95;152.46;269.95;145.71;170.97;175.40;212.10;190.91;172.65;163.92;264.49;288.93;164.88;262.67;280.95;262.38
