usina;mes;chuva_media
Agua Vermelha;Janeiro;275.57
Barra Bonita;Janeiro;264.15
Capivara;Janeiro;229.39
Emborcacao;Janeiro;249.44
Foz do Areia;Janeiro;203.76
Furnas;Janeiro;284.80
Ita Montante;Janeiro;194.59
Itaipu D;Janeiro;197.47
Itaipu E;Janeiro;188.70
Promissao;Janeiro;256.76
Rosana Norte;Janeiro;238.55
Rosana Sul;Janeiro;222.03
Salto Santiago;Janeiro;197.12
Sao Simao;Janeiro;248.18
Serra da Mesa;Janeiro;276.96
Sobradinho BA;Janeiro;134.46
Sobradinho MG;Janeiro;202.36
Tres Marias;Janeiro;257.28
Tucurui;Janeiro;287.45
Agua Vermelha;Fevereiro;207.40
Barra Bonita;Fevereiro;222.92
Capivara;Fevereiro;192.05
Emborcacao;Fevereiro;188.69
Foz do Areia;Fevereiro;192.99
Furnas;Fevereiro;198.75
Ita Montante;Fevereiro;190.24
Itaipu D;Fevereiro;181.42
Itaipu E;Fevereiro;172.90
Promissao;Fevereiro;206.34
Rosana Norte;Fevereiro;202.91
Rosana Sul;Fevereiro;184.74
Salto Santiago;Fevereiro;191.31
Sao Simao;Fevereiro;198.82
Serra da Mesa;Fevereiro;228.33
Sobradinho BA;Fevereiro;107.15
Sobradinho MG;Fevereiro;144.47
Tres Marias;Fevereiro;168.27
Tucurui;Fevereiro;264.71
Agua Vermelha;Março;177.06
Barra Bonita;Março;168.49
Capivara;Março;130.79
Emborcacao;Março;186.48
Foz do Areia;Março;128.41
Furnas;Março;179.81
Ita Montante;Março;134.95
Itaipu D;Março;121.14
Itaipu E;Março;125.93
Promissao;Março;151.60
Rosana Norte;Março;140.09
Rosana Sul;Março;125.32
Salto Santiago;Março;130.14
Sao Simao;Março;192.10
Serra da Mesa;Março;224.82
Sobradinho BA;Março;133.39
Sobradinho MG;Março;164.64
Tres Marias;Março;174.70
Tucurui;Março;256.48
Agua Vermelha;Abril;76.73
Barra Bonita;Abril;83.29
Capivara;Abril;79.90
Emborcacao;Abril;73.31
Foz do Areia;Abril;100.29
Furnas;Abril;74.13
Ita Montante;Abril;130.86
Itaipu D;Abril;116.41
Itaipu E;Abril;100.46
Promissao;Abril;74.50
